Date;Service;Ligne;Nom_ligne;TP;Nombre_voyageurs_a_lheure_pou_voyageur_retard
2015-09;Transilien;K;Paris Nord Crépy;87.9;7.3
2016-11;Transilien;R;Paris Sud Est;83.8;5.2
2015-10;RER;A;RER A;65.83;1.9
2016-11;Transilien;U;La Verrière - La Défense;93.3;13.9
2015-10;Transilien;P;Paris Est;90.725;9.8
2016-12;Transilien;J;Paris Saint-Lazare Nord;88.5;7.7
2015-11;RER;A;RER A;67.1;2.0
2017-01;RER;A;RER A;68.25;2.1
2015-11;Transilien;J;Paris Saint-Lazare Nord;88.3;7.5
2017-01;RER;D;RER D;85.2;5.8
2015-11;Transilien;K;Paris Nord Crépy;85.0;5.7
2017-01;Transilien;H;Paris Nord Ouest;94.4;16.9
2015-11;Transilien;N;Paris Montparnasse;88.5;7.7
2017-01;Transilien;N;Paris Montparnasse;86.6;6.5
2015-12;Transilien;J;Paris Saint-Lazare Nord;89.7;8.7
2017-01;Transilien;P;Paris Est;89.6;8.6
2015-12;Transilien;L;Paris Saint-Lazare Sud;88.1;7.4
2017-02;RER;A;RER A;69.35;2.3
2015-12;Transilien;R;Paris Sud Est;86.9;6.6
2017-02;RER;B;RER B;89.8;8.8
2016-01;Transilien;J;Paris Saint-Lazare Nord;91.6;10.9
2017-02;RER;D;RER D;87.0;6.7
2016-02;RER;A;RER A;71.7;2.5
2017-02;Transilien;J;Paris Saint-Lazare Nord;92.5;12.3
2016-02;RER;C;RER C;88.5;7.7
2017-02;Transilien;R;Paris Sud Est;89.6;8.6
2016-02;RER;D;RER D;86.7;6.5
2017-03;RER;D;RER D;82.9;4.8
2016-03;RER;C;RER C;88.3;7.5
2017-04;Transilien;N;Paris Montparnasse;93.9;15.4
2016-03;Transilien;P;Paris Est;89.2;8.3
2017-04;Transilien;U;La Verrière - La Défense;94.8;18.2
2016-03;Transilien;U;La Verrière - La Défense;93.5;14.4
2017-05;RER;C;RER C;86.672;6.5
2016-04;Transilien;H;Paris Nord Ouest;96.4;26.8
2017-05;Transilien;L;Paris Saint-Lazare Sud;88.916;8.0
2016-04;Transilien;U;La Verrière - La Défense;95.8;22.8
2017-05;Transilien;P;Paris Est;91.442;10.7
2016-05;Transilien;R;Paris Sud Est;81.1;4.3
2017-06;Transilien;L;Paris Saint-Lazare Sud;86.837;6.6
2016-06;RER;A;RER A;70.7;2.4
2017-07;Transilien;H;Paris Nord Ouest;93.308;13.9
2016-06;RER;D;RER D;83.0;4.9
2017-07;Transilien;L;Paris Saint-Lazare Sud;89.264;8.3
2016-06;RER;E;RER E;93.0;13.3
2017-08;RER;C;RER C;93.8;15.1
2016-06;Transilien;R;Paris Sud Est;84.5;5.5
2017-08;Transilien;J;Paris Saint-Lazare Nord;91.4;10.6
2016-08;RER;B;RER B;93.19;13.7
2017-08;Transilien;L;Paris Saint-Lazare Sud;92.5;12.3
2016-08;RER;D;RER D;89.8;8.8
2017-09;RER;A;RER A;72.9;2.7
2016-08;Transilien;L;Paris Saint-Lazare Sud;87.8;7.2
2017-09;Transilien;H;Paris Nord Ouest;96.6;28.4
2016-09;Transilien;N;Paris Montparnasse;90.8;9.9
2017-09;Transilien;J;Paris Saint-Lazare Nord;89.9;8.9
2016-10;RER;A;RER A;70.6;2.4
2017-09;Transilien;N;Paris Montparnasse;90.7;9.8
2016-10;RER;C;RER C;89.2;8.3
2017-09;Transilien;P;Paris Est;93.8;15.1
2016-10;Transilien;L;Paris Saint-Lazare Sud;88.2;7.5
2017-10;RER;D;RER D;83.0;4.9
2016-10;Transilien;P;Paris Est;90.7;9.8
2017-10;Transilien;H;Paris Nord Ouest;92.5;12.3
2016-11;RER;D;RER D;83.4;5.0
2017-10;Transilien;L;Paris Saint-Lazare Sud;86.4;6.4
2016-11;Transilien;L;Paris Saint-Lazare Sud;86.0;6.1
